Date,Product,Category,Region,Quantity,Unit_Price,Discount_%,Revenue,Cost,Profit,Month,Month_Str
2024-10-11,Winter Hoodie,Clothing,North,4,50.01,0,200.04,124.24,75.8,2024-10,Oct 2024
2024-12-06,Knife Set,Home & Kitchen,North,4,42.06,0,168.24,89.12,79.12,2024-12,Dec 2024
2024-06-28,Cutting Board,Home & Kitchen,Central,2,25.63,0,51.26,31.85,19.41,2024-06,Jun 2024
2024-12-01,Knife Set,Home & Kitchen,East,2,40.74,0,81.48,51.99,29.49,2024-12,Dec 2024
2024-02-02,Coffee Maker,Home & Kitchen,East,1,83.92,5,79.72,45.85,33.87,2024-02,Feb 2024
2024-10-11,Python Programming,Books,North,5,26.4,0,132.0,60.43,71.57,2024-10,Oct 2024
2024-04-02,Air Fryer,Home & Kitchen,West,2,102.6,0,205.2,103.04,102.16,2024-04,Apr 2024
2024-03-15,Denim Jacket,Clothing,West,5,54.47,0,272.35,175.26,97.09,2024-03,Mar 2024
2024-07-10,Cutting Board,Home & Kitchen,West,3,27.45,0,82.35,43.18,39.17,2024-07,Jul 2024
2024-07-01,Finance 101,Books,North,5,25.15,0,125.75,66.09,59.66,2024-07,Jul 2024
2024-12-07,Knife Set,Home & Kitchen,West,5,48.56,0,242.8,109.79,133.01,2024-12,Dec 2024
2024-10-10,Jump Rope,Sports,South,4,12.18,0,48.72,26.29,22.43,2024-10,Oct 2024
2024-02-22,Wireless Headphones,Electronics,East,1,82.12,10,73.91,47.66,26.25,2024-02,Feb 2024
2024-08-02,Resistance Bands,Sports,South,5,19.4,0,97.0,46.42,50.58,2024-08,Aug 2024
2024-08-17,Self Help Book,Books,Central,5,17.0,0,85.0,53.41,31.59,2024-08,Aug 2024
2024-12-04,Bluetooth Speaker,Electronics,North,5,63.32,5,300.77,192.33,108.44,2024-12,Dec 2024
2024-09-08,Jump Rope,Sports,South,3,12.67,0,38.01,20.33,17.68,2024-09,Sep 2024
2024-08-29,Protein Shaker,Sports,South,4,15.21,0,60.84,36.71,24.13,2024-08,Aug 2024
2024-12-13,Data Science Guide,Books,West,1,29.25,0,29.25,18.24,11.01,2024-12,Dec 2024
2024-06-08,Smart Watch,Electronics,North,5,135.39,5,643.1,357.27,285.83,2024-06,Jun 2024
2024-05-26,Gym Gloves,Sports,South,4,16.47,0,65.88,32.5,33.38,2024-05,May 2024
2024-09-15,Wireless Headphones,Electronics,East,1,96.39,10,86.75,40.04,46.71,2024-09,Sep 2024
2024-05-01,Casual T-Shirt,Clothing,South,4,20.59,0,82.36,40.84,41.52,2024-05,May 2024
2024-07-10,Bluetooth Speaker,Electronics,Central,3,67.58,0,202.74,103.78,98.96,2024-07,Jul 2024
2024-02-15,Self Help Book,Books,South,3,19.16,10,51.73,30.79,20.94,2024-02,Feb 2024
2024-10-12,Coffee Maker,Home & Kitchen,North,2,79.82,0,159.64,84.97,74.67,2024-10,Oct 2024
2024-06-25,Python Programming,Books,Central,3,28.53,0,85.59,55.12,30.47,2024-06,Jun 2024
2024-04-14,Finance 101,Books,North,3,22.24,0,66.72,31.03,35.69,2024-04,Apr 2024
2024-12-23,Cutting Board,Home & Kitchen,Central,3,25.28,0,75.84,48.46,27.38,2024-12,Dec 2024
2024-01-01,Data Science Guide,Books,North,3,28.65,0,85.95,53.77,32.18,2024-01,Jan 2024
2024-03-12,Python Programming,Books,South,2,27.99,0,55.98,34.5,21.48,2024-03,Mar 2024
2024-08-09,Running Shoes,Clothing,East,3,73.55,0,220.65,100.56,120.09,2024-08,Aug 2024
2024-03-15,Finance 101,Books,East,3,25.94,0,77.82,50.28,27.54,2024-03,Mar 2024
2024-12-12,Coffee Maker,Home & Kitchen,South,3,85.39,0,256.17,141.61,114.56,2024-12,Dec 2024
2024-04-15,Self Help Book,Books,South,3,18.71,0,56.13,30.42,25.71,2024-04,Apr 2024
2024-03-09,Data Science Guide,Books,South,2,30.72,0,61.44,30.22,31.22,2024-03,Mar 2024
2024-09-05,Blender,Home & Kitchen,North,3,51.03,0,153.09,74.46,78.63,2024-09,Sep 2024
2024-06-03,Yoga Pants,Clothing,Central,5,43.78,0,218.9,108.31,110.59,2024-06,Jun 2024
2024-11-12,Python Programming,Books,South,5,28.27,0,141.35,73.67,67.68,2024-11,Nov 2024
2024-10-27,Yoga Mat,Sports,East,3,31.78,0,95.34,54.88,40.46,2024-10,Oct 2024
2024-03-01,Laptop Stand,Electronics,Central,1,42.99,5,40.84,24.49,16.35,2024-03,Mar 2024
2024-03-18,Smart Watch,Electronics,West,2,156.37,0,312.74,156.52,156.22,2024-03,Mar 2024
2024-09-30,Blender,Home & Kitchen,East,2,53.4,0,106.8,50.3,56.5,2024-09,Sep 2024
2024-09-29,Knife Set,Home & Kitchen,North,2,45.32,0,90.64,47.0,43.64,2024-09,Sep 2024
2024-04-18,Denim Jacket,Clothing,West,2,55.04,0,110.08,62.46,47.62,2024-04,Apr 2024
2024-02-11,Air Fryer,Home & Kitchen,East,1,95.78,5,90.99,52.0,38.99,2024-02,Feb 2024
2024-08-16,Laptop Stand,Electronics,Central,1,42.64,0,42.64,20.49,22.15,2024-08,Aug 2024
2024-11-13,USB-C Hub,Electronics,Central,1,32.06,0,32.06,17.06,15.0,2024-11,Nov 2024
2024-03-15,Resistance Bands,Sports,East,4,18.02,15,61.27,33.59,27.68,2024-03,Mar 2024
2024-07-21,Air Fryer,Home & Kitchen,West,2,94.64,0,189.28,92.26,97.02,2024-07,Jul 2024
2024-01-20,Yoga Pants,Clothing,North,1,40.24,0,40.24,24.29,15.95,2024-01,Jan 2024
2024-11-28,Laptop Stand,Electronics,Central,3,45.84,0,137.52,74.38,63.14,2024-11,Nov 2024
2024-01-13,Coffee Maker,Home & Kitchen,Central,2,72.49,0,144.98,65.32,79.66,2024-01,Jan 2024
2024-10-31,Laptop Stand,Electronics,South,5,47.98,10,215.91,102.53,113.38,2024-10,Oct 2024
2024-02-04,Air Fryer,Home & Kitchen,North,1,103.77,0,103.77,64.17,39.6,2024-02,Feb 2024
2024-11-11,Wireless Headphones,Electronics,West,3,83.02,5,236.61,137.95,98.66,2024-11,Nov 2024
2024-02-11,Knife Set,Home & Kitchen,South,1,46.65,0,46.65,27.65,19.0,2024-02,Feb 2024
2024-01-23,Gym Gloves,Sports,South,1,17.04,5,16.19,8.53,7.66,2024-01,Jan 2024
2024-07-16,Blender,Home & Kitchen,East,3,56.4,0,169.2,80.85,88.35,2024-07,Jul 2024
2024-08-18,Finance 101,Books,East,3,25.39,0,76.17,39.03,37.14,2024-08,Aug 2024
2024-03-26,Wireless Headphones,Electronics,North,2,93.67,5,177.97,92.26,85.71,2024-03,Mar 2024
2024-07-02,Self Help Book,Books,East,5,18.14,0,90.7,48.23,42.47,2024-07,Jul 2024
2024-08-30,Business Strategy,Books,East,4,22.19,0,88.76,46.08,42.68,2024-08,Aug 2024
2024-05-13,Smart Watch,Electronics,South,2,162.33,0,324.66,184.16,140.5,2024-05,May 2024
2024-04-13,Air Fryer,Home & Kitchen,South,4,100.84,0,403.36,255.63,147.73,2024-04,Apr 2024
2024-04-15,Finance 101,Books,West,1,24.37,0,24.37,13.03,11.34,2024-04,Apr 2024
2024-09-13,Air Fryer,Home & Kitchen,Central,5,108.6,5,515.85,244.99,270.86,2024-09,Sep 2024
2024-05-28,Protein Shaker,Sports,East,1,15.73,0,15.73,9.56,6.17,2024-05,May 2024
2024-01-25,Blender,Home & Kitchen,South,2,59.62,0,119.24,61.93,57.31,2024-01,Jan 2024
2024-12-29,Air Fryer,Home & Kitchen,East,3,91.89,0,275.67,151.53,124.14,2024-12,Dec 2024
2024-03-03,Running Shoes,Clothing,South,3,76.98,0,230.94,134.57,96.37,2024-03,Mar 2024
2024-05-27,USB-C Hub,Electronics,East,4,35.25,0,141.0,71.9,69.1,2024-05,May 2024
2024-07-29,Yoga Pants,Clothing,North,5,41.0,0,205.0,126.55,78.45,2024-07,Jul 2024
2024-06-23,Air Fryer,Home & Kitchen,West,2,99.48,0,198.96,105.48,93.48,2024-06,Jun 2024
2024-02-24,Knife Set,Home & Kitchen,North,3,43.86,0,131.58,76.16,55.42,2024-02,Feb 2024
2024-12-14,Casual T-Shirt,Clothing,West,1,20.21,0,20.21,9.89,10.32,2024-12,Dec 2024
2024-03-07,Air Fryer,Home & Kitchen,West,3,102.02,0,306.06,143.81,162.25,2024-03,Mar 2024
2024-06-13,Laptop Stand,Electronics,Central,5,44.16,0,220.8,103.2,117.6,2024-06,Jun 2024
2024-05-26,Air Fryer,Home & Kitchen,North,5,106.45,0,532.25,314.45,217.8,2024-05,May 2024
2024-08-21,Gym Gloves,Sports,South,2,17.51,0,35.02,21.58,13.44,2024-08,Aug 2024
2024-12-20,Running Shoes,Clothing,South,4,82.12,0,328.48,155.32,173.16,2024-12,Dec 2024
2024-05-07,Blender,Home & Kitchen,Central,1,54.83,0,54.83,32.81,22.02,2024-05,May 2024
2024-09-02,Air Fryer,Home & Kitchen,South,3,97.45,0,292.35,184.21,108.14,2024-09,Sep 2024
2024-05-25,Cutting Board,Home & Kitchen,North,5,26.58,0,132.9,61.59,71.31,2024-05,May 2024
2024-04-26,Denim Jacket,Clothing,West,2,55.68,0,111.36,56.05,55.31,2024-04,Apr 2024
2024-11-04,Coffee Maker,Home & Kitchen,East,2,85.55,0,171.1,90.11,80.99,2024-11,Nov 2024
2024-12-28,Coffee Maker,Home & Kitchen,North,1,72.41,0,72.41,36.14,36.27,2024-12,Dec 2024
2024-04-22,Yoga Pants,Clothing,South,3,38.38,0,115.14,62.78,52.36,2024-04,Apr 2024
2024-09-06,Cutting Board,Home & Kitchen,East,4,25.2,0,100.8,62.33,38.47,2024-09,Sep 2024
2024-07-19,Business Strategy,Books,East,2,21.89,0,43.78,22.78,21.0,2024-07,Jul 2024
2024-02-11,Winter Hoodie,Clothing,West,1,52.21,5,49.6,30.25,19.35,2024-02,Feb 2024
2024-04-10,Coffee Maker,Home & Kitchen,North,4,83.86,10,301.9,183.56,118.34,2024-04,Apr 2024
2024-11-13,Air Fryer,Home & Kitchen,North,3,103.6,5,295.26,171.77,123.49,2024-11,Nov 2024
2024-09-24,Air Fryer,Home & Kitchen,Central,3,108.66,10,293.38,134.33,159.05,2024-09,Sep 2024
2024-03-26,Air Fryer,Home & Kitchen,North,2,95.29,0,190.58,113.62,76.96,2024-03,Mar 2024
2024-03-22,Smart Watch,Electronics,South,4,159.27,0,637.08,392.3,244.78,2024-03,Mar 2024
2024-10-27,Laptop Stand,Electronics,East,2,48.46,0,96.92,52.16,44.76,2024-10,Oct 2024
2024-07-28,Running Shoes,Clothing,East,1,80.79,0,80.79,40.12,40.67,2024-07,Jul 2024
2024-09-07,Smart Watch,Electronics,Central,5,149.86,10,674.37,411.2,263.17,2024-09,Sep 2024
2024-11-13,Jump Rope,Sports,North,5,11.95,0,59.75,30.13,29.62,2024-11,Nov 2024
2024-12-05,Running Shoes,Clothing,South,5,78.48,0,392.4,213.25,179.15,2024-12,Dec 2024
2024-10-19,Smart Watch,Electronics,South,1,142.36,10,128.12,58.81,69.31,2024-10,Oct 2024
2024-05-19,Wireless Headphones,Electronics,West,3,97.01,0,291.03,136.17,154.86,2024-05,May 2024
2024-08-13,Yoga Pants,Clothing,Central,1,41.95,0,41.95,22.25,19.7,2024-08,Aug 2024
2024-11-25,Finance 101,Books,West,3,22.45,0,67.35,32.82,34.53,2024-11,Nov 2024
2024-02-16,Finance 101,Books,North,1,24.09,0,24.09,13.37,10.72,2024-02,Feb 2024
2024-03-02,Laptop Stand,Electronics,West,1,41.89,5,39.8,19.7,20.1,2024-03,Mar 2024
2024-12-22,Wireless Headphones,Electronics,East,2,88.24,0,176.48,89.05,87.43,2024-12,Dec 2024
2024-11-27,Yoga Pants,Clothing,Central,2,42.48,0,84.96,47.59,37.37,2024-11,Nov 2024
2024-11-23,USB-C Hub,Electronics,South,3,36.56,0,109.68,51.13,58.55,2024-11,Nov 2024
2024-03-21,Bluetooth Speaker,Electronics,Central,2,64.94,0,129.88,73.83,56.05,2024-03,Mar 2024
2024-08-24,Python Programming,Books,East,1,30.12,0,30.12,17.52,12.6,2024-08,Aug 2024
2024-09-25,Protein Shaker,Sports,North,3,14.22,10,38.39,18.09,20.3,2024-09,Sep 2024
2024-08-22,Knife Set,Home & Kitchen,North,5,48.35,0,241.75,148.72,93.03,2024-08,Aug 2024
2024-02-08,Laptop Stand,Electronics,North,2,47.86,5,90.93,50.15,40.78,2024-02,Feb 2024
2024-04-22,Bluetooth Speaker,Electronics,East,1,66.71,0,66.71,38.48,28.23,2024-04,Apr 2024
2024-03-14,Blender,Home & Kitchen,North,1,60.09,0,60.09,34.64,25.45,2024-03,Mar 2024
2024-12-17,Gym Gloves,Sports,West,4,16.44,0,65.76,38.91,26.85,2024-12,Dec 2024
2024-01-22,Smart Watch,Electronics,East,2,136.33,5,259.03,167.86,91.17,2024-01,Jan 2024
2024-08-14,Knife Set,Home & Kitchen,West,4,47.32,0,189.28,86.01,103.27,2024-08,Aug 2024
2024-01-26,Yoga Pants,Clothing,South,2,38.19,15,64.92,34.75,30.17,2024-01,Jan 2024
2024-10-14,Winter Hoodie,Clothing,West,2,58.0,0,116.0,55.25,60.75,2024-10,Oct 2024
2024-01-21,Jump Rope,Sports,North,5,12.33,0,61.65,31.12,30.53,2024-01,Jan 2024
2024-01-15,Yoga Mat,Sports,South,2,32.99,0,65.98,38.29,27.69,2024-01,Jan 2024
2024-03-12,Casual T-Shirt,Clothing,East,4,18.74,5,71.21,43.1,28.11,2024-03,Mar 2024
2024-12-14,Python Programming,Books,West,4,25.38,10,91.37,52.39,38.98,2024-12,Dec 2024
2024-09-29,Data Science Guide,Books,North,4,28.49,0,113.96,56.42,57.54,2024-09,Sep 2024
2024-12-09,Bluetooth Speaker,Electronics,South,3,71.3,0,213.9,116.13,97.77,2024-12,Dec 2024
2024-04-04,Coffee Maker,Home & Kitchen,East,3,82.08,5,233.93,141.75,92.18,2024-04,Apr 2024
2024-03-16,Laptop Stand,Electronics,North,1,45.64,0,45.64,24.94,20.7,2024-03,Mar 2024
2024-08-29,Wireless Headphones,Electronics,East,4,81.39,0,325.56,203.97,121.59,2024-08,Aug 2024
2024-04-12,Bluetooth Speaker,Electronics,North,2,71.21,0,142.42,83.83,58.59,2024-04,Apr 2024
2024-10-31,Python Programming,Books,North,3,25.9,5,73.81,41.99,31.82,2024-10,Oct 2024
2024-09-20,Air Fryer,Home & Kitchen,West,2,101.48,0,202.96,116.18,86.78,2024-09,Sep 2024
2024-11-09,Yoga Pants,Clothing,Central,2,39.85,0,79.7,38.48,41.22,2024-11,Nov 2024
2024-03-27,Denim Jacket,Clothing,North,4,55.91,5,212.46,104.92,107.54,2024-03,Mar 2024
2024-08-08,Jump Rope,Sports,West,5,12.38,0,61.9,34.73,27.17,2024-08,Aug 2024
2024-12-26,Cutting Board,Home & Kitchen,Central,3,25.75,0,77.25,45.27,31.98,2024-12,Dec 2024
2024-10-31,Wireless Headphones,Electronics,West,5,93.04,0,465.2,248.93,216.27,2024-10,Oct 2024
2024-05-31,Casual T-Shirt,Clothing,West,2,21.47,0,42.94,23.09,19.85,2024-05,May 2024
2024-09-18,Knife Set,Home & Kitchen,Central,2,49.43,0,98.86,51.59,47.27,2024-09,Sep 2024
2024-08-12,Denim Jacket,Clothing,East,3,63.31,0,189.93,108.33,81.6,2024-08,Aug 2024
2024-11-20,Coffee Maker,Home & Kitchen,North,5,78.01,0,390.05,207.12,182.93,2024-11,Nov 2024
2024-08-18,Air Fryer,Home & Kitchen,West,1,96.84,10,87.16,43.72,43.44,2024-08,Aug 2024
2024-06-12,Air Fryer,Home & Kitchen,West,5,93.79,0,468.95,293.91,175.04,2024-06,Jun 2024
2024-11-27,Denim Jacket,Clothing,South,1,59.17,0,59.17,33.93,25.24,2024-11,Nov 2024
2024-04-16,Knife Set,Home & Kitchen,South,5,43.71,0,218.55,132.52,86.03,2024-04,Apr 2024
2024-04-17,Knife Set,Home & Kitchen,Central,3,41.51,0,124.53,57.46,67.07,2024-04,Apr 2024
2024-01-01,Knife Set,Home & Kitchen,North,3,44.57,10,120.34,61.76,58.58,2024-01,Jan 2024
2024-06-29,Knife Set,Home & Kitchen,North,2,49.19,0,98.38,63.0,35.38,2024-06,Jun 2024
2024-07-02,Air Fryer,Home & Kitchen,East,3,98.78,0,296.34,141.63,154.71,2024-07,Jul 2024
2024-08-21,Bluetooth Speaker,Electronics,North,4,67.25,10,242.1,113.49,128.61,2024-08,Aug 2024
2024-06-23,Cutting Board,Home & Kitchen,Central,2,25.81,15,43.88,23.03,20.85,2024-06,Jun 2024
2024-05-15,Smart Watch,Electronics,East,1,135.01,10,121.51,71.44,50.07,2024-05,May 2024
2024-05-21,Blender,Home & Kitchen,Central,5,56.84,0,284.2,147.7,136.5,2024-05,May 2024
2024-03-29,Wireless Headphones,Electronics,Central,5,94.03,0,470.15,281.0,189.15,2024-03,Mar 2024
2024-05-11,Gym Gloves,Sports,West,3,19.11,0,57.33,34.95,22.38,2024-05,May 2024
2024-11-05,Yoga Pants,Clothing,South,1,38.63,0,38.63,22.1,16.53,2024-11,Nov 2024
2024-10-31,Blender,Home & Kitchen,South,1,54.39,0,54.39,30.86,23.53,2024-10,Oct 2024
2024-09-21,Smart Watch,Electronics,West,3,150.26,10,405.7,251.3,154.4,2024-09,Sep 2024
2024-01-12,Gym Gloves,Sports,South,5,17.64,0,88.2,49.1,39.1,2024-01,Jan 2024
2024-01-21,Coffee Maker,Home & Kitchen,West,3,71.22,0,213.66,134.52,79.14,2024-01,Jan 2024
2024-11-19,Laptop Stand,Electronics,South,5,44.81,0,224.05,108.28,115.77,2024-11,Nov 2024
2024-01-27,Cutting Board,Home & Kitchen,South,5,26.52,0,132.6,67.93,64.67,2024-01,Jan 2024
2024-03-17,Coffee Maker,Home & Kitchen,South,4,84.11,0,336.44,159.69,176.75,2024-03,Mar 2024
2024-11-07,Gym Gloves,Sports,North,1,18.24,0,18.24,11.72,6.52,2024-11,Nov 2024
2024-06-21,Running Shoes,Clothing,South,2,69.18,0,138.36,79.92,58.44,2024-06,Jun 2024
2024-01-09,Knife Set,Home & Kitchen,North,2,42.07,0,84.14,53.11,31.03,2024-01,Jan 2024
2024-10-19,Data Science Guide,Books,North,4,28.65,5,108.87,58.22,50.65,2024-10,Oct 2024
2024-08-29,Coffee Maker,Home & Kitchen,West,5,73.75,0,368.75,229.57,139.18,2024-08,Aug 2024
2024-10-19,Wireless Headphones,Electronics,North,3,90.91,0,272.73,135.38,137.35,2024-10,Oct 2024
2024-09-14,Winter Hoodie,Clothing,North,3,56.07,0,168.21,90.59,77.62,2024-09,Sep 2024
2024-10-06,Running Shoes,Clothing,West,4,79.78,0,319.12,165.13,153.99,2024-10,Oct 2024
2024-08-19,Gym Gloves,Sports,North,5,19.42,0,97.1,49.97,47.13,2024-08,Aug 2024
2024-09-25,Wireless Headphones,Electronics,East,1,94.91,0,94.91,44.04,50.87,2024-09,Sep 2024
2024-10-26,Coffee Maker,Home & Kitchen,West,5,78.32,0,391.6,180.32,211.28,2024-10,Oct 2024
2024-10-12,Running Shoes,Clothing,Central,4,68.4,0,273.6,175.52,98.08,2024-10,Oct 2024
2024-04-15,Wireless Headphones,Electronics,North,1,94.73,0,94.73,48.33,46.4,2024-04,Apr 2024
2024-08-24,Protein Shaker,Sports,Central,4,16.42,0,65.68,39.24,26.44,2024-08,Aug 2024
2024-05-28,Data Science Guide,Books,West,4,30.74,0,122.96,73.91,49.05,2024-05,May 2024
2024-08-13,USB-C Hub,Electronics,West,5,31.75,0,158.75,79.79,78.96,2024-08,Aug 2024
2024-09-05,Winter Hoodie,Clothing,South,1,55.11,5,52.35,26.49,25.86,2024-09,Sep 2024
2024-05-22,Resistance Bands,Sports,East,4,21.41,0,85.64,54.48,31.16,2024-05,May 2024
2024-06-06,Smart Watch,Electronics,East,2,159.97,5,303.94,184.8,119.14,2024-06,Jun 2024
2024-06-11,Running Shoes,Clothing,South,2,69.81,0,139.62,89.56,50.06,2024-06,Jun 2024
2024-10-07,Coffee Maker,Home & Kitchen,West,5,84.72,10,381.24,208.7,172.54,2024-10,Oct 2024
2024-01-25,Cutting Board,Home & Kitchen,South,5,24.34,0,121.7,55.39,66.31,2024-01,Jan 2024
2024-01-12,USB-C Hub,Electronics,North,4,33.68,0,134.72,72.47,62.25,2024-01,Jan 2024
2024-05-09,Bluetooth Speaker,Electronics,North,4,63.24,0,252.96,142.39,110.57,2024-05,May 2024
2024-09-23,Wireless Headphones,Electronics,North,2,81.13,0,162.26,104.94,57.32,2024-09,Sep 2024
2024-06-04,Laptop Stand,Electronics,North,3,42.1,0,126.3,72.45,53.85,2024-06,Jun 2024
2024-11-03,Air Fryer,Home & Kitchen,North,5,101.45,0,507.25,271.49,235.76,2024-11,Nov 2024
2024-09-12,USB-C Hub,Electronics,South,5,33.98,0,169.9,92.82,77.08,2024-09,Sep 2024
2024-07-01,Bluetooth Speaker,Electronics,West,2,60.24,0,120.48,73.26,47.22,2024-07,Jul 2024
2024-03-05,Coffee Maker,Home & Kitchen,North,5,71.29,0,356.45,229.97,126.48,2024-03,Mar 2024
2024-07-06,Finance 101,Books,North,3,23.78,5,67.77,31.83,35.94,2024-07,Jul 2024
2024-04-21,Casual T-Shirt,Clothing,Central,4,20.61,5,78.32,44.86,33.46,2024-04,Apr 2024
2024-04-22,Resistance Bands,Sports,West,1,18.41,0,18.41,11.76,6.65,2024-04,Apr 2024
2024-08-29,Finance 101,Books,South,2,22.81,0,45.62,28.06,17.56,2024-08,Aug 2024
2024-03-19,Yoga Pants,Clothing,East,1,36.53,0,36.53,17.54,18.99,2024-03,Mar 2024
2024-01-08,Air Fryer,Home & Kitchen,South,5,89.85,0,449.25,261.38,187.87,2024-01,Jan 2024
2024-05-12,Business Strategy,Books,North,4,23.05,0,92.2,46.96,45.24,2024-05,May 2024
2024-01-28,Yoga Pants,Clothing,West,3,37.39,0,112.17,65.29,46.88,2024-01,Jan 2024
2024-08-07,Python Programming,Books,North,1,26.85,0,26.85,15.44,11.41,2024-08,Aug 2024
2024-10-18,Denim Jacket,Clothing,North,4,63.3,0,253.2,140.79,112.41,2024-10,Oct 2024
2024-06-12,Smart Watch,Electronics,South,4,148.24,0,592.96,324.47,268.49,2024-06,Jun 2024
2024-01-10,Jump Rope,Sports,North,1,13.03,0,13.03,6.83,6.2,2024-01,Jan 2024
2024-04-23,Casual T-Shirt,Clothing,South,4,18.96,0,75.84,37.12,38.72,2024-04,Apr 2024
2024-02-01,Gym Gloves,Sports,South,1,17.13,0,17.13,9.89,7.24,2024-02,Feb 2024
2024-09-12,USB-C Hub,Electronics,North,3,33.39,0,100.17,59.66,40.51,2024-09,Sep 2024
2024-10-09,Bluetooth Speaker,Electronics,West,2,61.28,0,122.56,75.76,46.8,2024-10,Oct 2024
